version_group_id,language_id,flag_id,name,description
23,2,26,Affected by Pressure,"This move is affected by <a class=""dex-link"" href=""/dex/sv/abilities/pressure"">Pressure</a>, even if it doesn't target that Pokémon."
23,2,27,Combo move,This move can be part of a combo.
23,2,28,Ignored by Sleep Talk,"This move cannot be selected by <a class=""dex-link"" href=""/dex/sv/moves/sleep-talk"">Sleep Talk</a>."
23,2,29,Ignored by Assist,This move cannot be selected by Assist.
23,2,30,Copycat fails,"The move <a class=""dex-link"" href=""/dex/sv/moves/copycat"">Copycat</a> will fail if this move was used last by its target."
23,2,31,Mimic fails,"The move <a class=""dex-link"" href=""/dex/sv/moves/mimic"">Mimic</a> will fail if this move was used last by its target."
23,2,32,Instruct fails,"The move <a class=""dex-link"" href=""/dex/sv/moves/instruct"">Instruct</a> will fail if this move was used last by its target."
23,2,33,Powder or spore move,"<a class=""dex-link"" href=""/dex/sv/types/grass"">Grass</a>-type Pokémon, Pokémon with <a class=""dex-link"" href=""/dex/sv/abilities/overcoat"">Overcoat</a>, and Pokémon holding <a class=""dex-link"" href=""/dex/sv/items/safety-goggles"">Safety Goggles</a> are immune to this move."
23,2,34,Biting move,"This move receives a 50% power boost from <a class=""dex-link"" href=""/dex/sv/abilities/strong-jaw"">Strong Jaw</a>."
23,2,35,Ball or bomb move,"Pokémon with <a class=""dex-link"" href=""/dex/sv/abilities/bulletproof"">Bulletproof</a> are immune to this move."
23,2,36,No Parental Bond,Parental Bond will not turn this move into a two-hit move.
23,2,37,No effectiveness message,"This move will not display as ""super effective"" or ""not very effective."""
23,2,38,Boosted by Sheer Force,"This move receives a 30% power boost from <a class=""dex-link"" href=""/dex/sv/abilities/sheer-force"">Sheer Force</a> regardless of having a traditional secondary effect."
23,2,39,Slicing move,"This move receives a 50% power boost from <a class=""dex-link"" href=""/dex/sv/abilities/sharpness"">Sharpness</a>."
23,2,40,Wind move,"This move triggers <a class=""dex-link"" href=""/dex/sv/abilities/wind-rider"">Wind Rider</a> and <a class=""dex-link"" href=""/dex/sv/abilities/wind-power"">Wind Power</a>."
23,2,46,Can't be used consecutively,This move cannot be used twice in a row.
23,2,47,Can't be Sketched,"The move <a class=""dex-link"" href=""/dex/sv/moves/sketch"">Sketch</a> will fail if this move was used last by its target."
101,2,1,Triggers King’s Rock,"This move can trigger the effects of <a class=""dex-link"" href=""/dex/colo/items/kings-rock"">King’s Rock</a>."
101,2,3,Makes contact,This move causes the user to make contact with the target.
101,2,4,Blocked by Protect,"This move will be blocked if the target has used <a class=""dex-link"" href=""/dex/colo/moves/protect"">Protect</a> or <a class=""dex-link"" href=""/dex/colo/moves/detect"">Detect</a> this turn."
101,2,5,Reflectable,"This move can be reflected back at the user with <a class=""dex-link"" href=""/dex/colo/moves/magic-coat"">Magic Coat</a>."
101,2,6,Snatchable,"The effects of this move can be stolen by a Pokémon using <a class=""dex-link"" href=""/dex/colo/moves/snatch"">Snatch</a>."
101,2,7,Copied by Mirror Move,"This move can be copied by <a class=""dex-link"" href=""/dex/colo/moves/mirror-move"">Mirror Move</a>."
102,2,1,Triggers King’s Rock,"This move can trigger the effects of <a class=""dex-link"" href=""/dex/xd/items/kings-rock"">King’s Rock</a>."
102,2,3,Makes contact,This move causes the user to make contact with the target.
102,2,4,Blocked by Protect,"This move will be blocked if the target has used <a class=""dex-link"" href=""/dex/xd/moves/protect"">Protect</a> or <a class=""dex-link"" href=""/dex/xd/moves/detect"">Detect</a> this turn."
102,2,5,Reflectable,"This move can be reflected back at the user with <a class=""dex-link"" href=""/dex/xd/moves/magic-coat"">Magic Coat</a>."
102,2,6,Snatchable,"The effects of this move can be stolen by a Pokémon using <a class=""dex-link"" href=""/dex/xd/moves/snatch"">Snatch</a>."
102,2,7,Copied by Mirror Move,"This move can be copied by <a class=""dex-link"" href=""/dex/xd/moves/mirror-move"">Mirror Move</a>."
